FIPS,T2,Q2,U10,V10,SWDOWN,GLW
5131,308.34,0.00872,-0.95,-0.12,996.45,387.79
5133,309.5,0.00841,-1.44,-2.21,1010.39,386.51
5135,306.74,0.01009,0.18,-1.75,983.97,385.4
5137,305.68,0.01045,0.42,-1.8,986.23,381.61
5139,308.36,0.01033,-0.64,-2.28,996.97,399.16
5141,305.71,0.00977,-0.17,-1.67,992.63,376.53
5143,307.74,0.00766,-1.53,-0.33,995.53,379.29
5145,307.39,0.01017,-0.63,-1.68,990.1,389.26
5147,306.74,0.01072,-0.32,-2.65,992.77,387.86
5149,307.52,0.00936,-0.78,-1.04,994.64,385.78
6001,300.91,0.0082,3.9,-0.13,974.13,344.2
6003,299.59,0.00451,1.42,-0.74,1016.69,305.17
6005,305.71,0.00712,3.27,-1.62,994.62,346.37
6007,308.66,0.00703,2.67,-1.17,967.2,368.37
6009,306.67,0.00704,3.73,-2.0,997.61,348.93
6011,309.81,0.00618,-0.84,-0.9,963.07,376.8
6013,303.72,0.00814,3.69,0.7,970.23,355.71
6015,295.37,0.01127,1.9,-1.55,927.1,336.34
6017,304.34,0.00672,3.0,-1.87,999.11,334.36
6019,305.67,0.00545,1.25,-1.32,1008.3,344.27
6021,309.33,0.00618,-0.73,-0.82,961.96,372.57
6023,297.93,0.01067,1.4,-2.5,941.95,336.58
6025,317.41,0.00718,-0.15,2.36,1001.82,435.71
6027,310.36,0.00475,-0.72,2.67,1016.61,364.53
6029,308.73,0.00494,1.34,-1.19,1017.36,359.82
6031,310.03,0.00494,-0.22,-1.73,999.55,369.62
6033,307.46,0.00637,1.76,0.05,968.88,360.83
6035,302.65,0.00678,1.33,-0.58,981.86,335.5
6037,305.76,0.00747,2.27,0.48,1018.02,356.92
6039,305.83,0.00603,2.6,-0.74,1002.2,346.61
6041,297.4,0.00887,4.35,-2.38,960.65,338.29
6043,305.03,0.00619,3.78,-0.87,1004.31,340.4
6045,301.89,0.00822,2.36,-2.3,955.61,344.23
6047,309.52,0.00622,2.47,-3.33,991.89,367.67
6049,302.74,0.00723,2.17,0.02,969.18,340.36
6051,299.92,0.0055,-0.69,1.18,1015.43,314.85
6053,305.63,0.00602,1.56,-4.13,995.02,353.77
6055,308.29,0.0069,0.42,0.12,968.34,371.52
6057,304.72,0.00669,2.99,-0.97,991.88,337.58
6059,302.86,0.00892,2.98,2.58,1011.56,355.42
6061,304.81,0.00653,2.78,-1.18,992.99,339.29
6063,302.88,0.00637,1.13,0.02,987.87,330.71
6065,315.19,0.00623,0.77,1.93,1011.06,407.99
6067,307.62,0.00685,2.39,-0.96,972.65,368.49
6069,307.15,0.0055,2.55,-4.34,1003.03,351.11
6071,314.38,0.00533,0.58,0.51,1013.6,395.94
6073,307.99,0.00755,2.6,0.92,1017.15,376.63
6075,291.28,0.00969,4.84,-1.6,957.92,322.8
6077,307.91,0.00694,3.8,-3.09,978.55,366.32
6079,308.06,0.00535,-1.02,-3.73,1008.4,358.72
6081,295.82,0.00907,2.89,-2.1,966.15,330.89
6083,302.81,0.00796,0.26,-3.12,1007.18,348.92
6085,304.54,0.00706,2.97,-3.1,982.82,351.31
6087,300.46,0.00815,2.26,-1.63,971.2,345.4
6089,306.35,0.00799,1.04,0.27,960.6,358.57
6091,302.46,0.00576,1.63,-0.52,999.26,323.29
6093,302.76,0.00868,1.35,-0.18,954.04,344.82
6095,307.2,0.00736,2.36,-0.2,966.48,369.3
6097,305.61,0.00782,3.18,-0.84,960.8,362.86
6099,309.1,0.00633,1.94,-4.38,989.29,366.1
6101,310.33,0.00637,1.46,-1.24,963.36,380.96
6103,307.74,0.00675,0.45,-0.84,965.95,362.45
6105,303.74,0.00755,1.28,-0.25,962.36,341.85
6107,304.06,0.0051,1.96,0.95,1019.49,334.44
6109,302.24,0.00589,4.08,-1.16,1011.01,323.0
6111,303.2,0.00785,1.9,-0.2,1016.42,346.3
6113,308.86,0.00623,-0.63,-0.89,967.2,373.56
6115,309.01,0.00714,2.82,-1.76,969.91,370.68
8001,305.32,0.00823,-2.13,-4.45,846.84,386.37
8003,300.29,0.00876,1.02,-1.38,1015.35,338.13
8005,304.3,0.00842,-2.37,-4.25,944.99,365.27
8007,296.75,0.0114,3.72,-1.41,770.47,350.53
8009,309.0,0.00934,1.08,1.72,968.82,396.24
8011,309.32,0.00879,-0.27,-0.95,998.8,389.22
8013,299.23,0.00674,-0.25,-1.34,689.37,368.04
8014,306.32,0.00615,1.02,-1.57,927.48,378.47
8015,293.13,0.00878,2.87,-3.34,936.17,320.69
8017,308.21,0.00962,-1.65,0.02,991.78,387.25
8019,290.11,0.00753,1.15,-1.82,398.03,346.36
8021,295.29,0.0104,2.31,0.52,625.73,347.23
8023,297.46,0.00886,2.07,-1.74,1027.28,324.25
8025,308.32,0.00918,-2.59,-2.8,965.37,393.66
8027,296.88,0.00881,-1.05,-1.38,887.75,340.01
8029,300.86,0.00976,3.12,0.26,995.64,346.62
8031,305.31,0.00672,-2.24,-3.11,745.52,389.64
8033,298.11,0.00994,3.25,-1.27,1002.53,337.71
8035,301.3,0.00722,-1.91,-4.36,868.73,354.45
8037,293.52,0.00958,1.6,-1.51,917.15,330.09
8039,304.0,0.00786,-1.84,-5.76,994.09,351.59
8041,303.36,0.00763,-1.47,-4.84,970.18,359.71
8043,300.57,0.00831,-0.73,-2.3,900.93,351.38
8045,297.91,0.00941,2.75,0.1,950.21,336.72
8047,292.96,0.00694,-0.35,-2.02,282.81,362.83
8049,292.16,0.00889,3.11,-1.23,791.16,333.97
8051,294.18,0.00945,3.47,-2.22,982.35,315.7
8053,291.11,0.00959,2.8,-3.31,885.57,315.0
8055,300.62,0.00932,-0.42,-1.84,999.39,344.47
8057,292.41,0.00831,1.72,-1.43,549.1,354.87
8059,299.52,0.00694,-1.87,-2.14,508.44,373.59
8061,308.99,0.00938,-1.87,0.0,987.54,392.67
8063,307.54,0.00977,-1.82,-1.97,991.33,382.67
8065,289.63,0.00902,2.98,-3.91,1019.53,290.86
8067,298.38,0.01036,3.79,-1.75,962.65,340.87
8069,296.13,0.00762,1.78,-2.04,721.71,358.29
8071,304.68,0.00959,0.12,-2.81,947.66,374.2
8073,306.41,0.00895,-2.38,-3.89,989.23,374.34
8075,305.05,0.01152,-2.22,-4.27,938.97,385.49
8077,301.61,0.00954,2.31,-0.78,1005.3,347.66
8079,292.35,0.00973,3.03,-2.2,825.81,325.91
8081,299.97,0.00644,0.14,-2.36,896.75,347.77
8083,301.72,0.00978,3.6,-1.19,1014.65,349.98
8085,301.7,0.00976,2.45,-0.95,1011.22,348.11
8087,305.62,0.0101,-1.92,-4.42,954.83,382.24
8089,308.36,0.00906,-0.18,-2.1,998.52,385.06
8091,296.42,0.00979,2.7,-2.7,1014.72,322.45
8093,292.44,0.00882,1.12,-2.66,589.32,345.0
8095,306.47,0.01128,-2.12,-2.45,967.2,387.8
8097,292.27,0.00932,2.3,-2.46,997.6,304.63
8099,309.95,0.00951,-1.18,0.43,991.83,398.89
8101,306.86,0.00867,-1.63,-3.72,986.72,378.48
8103,299.78,0.0084,1.59,-1.78,962.26,341.05
8105,297.67,0.00862,1.46,-2.34,827.53,344.92
