FIPS,T2
18107,86.22
18109,86.7
18111,87.66
18113,85.32
18115,87.13
18117,88.61
18119,87.46
18121,87.91
18123,88.86
18125,89.26
18127,81.03
18129,89.24
18131,87.46
18133,86.72
18135,85.06
18137,85.71
18139,84.67
18141,87.13
18143,87.24
18145,85.86
18147,89.31
18149,87.57
18151,85.51
18153,88.95
18155,87.19
18157,86.59
18159,85.78
18161,85.08
18163,89.51
18165,88.2
18167,88.75
18169,85.41
18171,88.09
18173,89.19
18175,87.6
18177,84.22
18179,85.53
18181,86.5
18183,85.28
19001,88.93
19003,89.42
19005,84.16
19007,88.12
19009,88.18
19011,86.79
19013,85.14
19015,88.65
19017,84.52
19019,84.6
19021,86.72
19023,84.69
19025,86.14
19027,88.54
19029,88.79
19031,85.3
19033,83.84
19035,88.88
19037,83.55
19039,89.19
19041,86.77
19043,84.81
19045,86.13
19047,88.36
19049,90.05
19051,89.26
19053,89.35
19055,84.13
19057,86.88
19059,86.7
19061,84.78
19063,84.83
19065,84.54
19067,83.82
19069,84.15
19071,90.81
19073,89.28
19075,85.95
19077,89.17
19079,85.48
19081,84.34
19083,84.94
19085,91.45
19087,87.6
19089,82.31
19091,85.06
19093,87.37
19095,87.3
19097,85.59
19099,88.97
19101,88.54
19103,86.43
19105,84.49
19107,88.79
19109,84.76
19111,87.76
19113,85.66
19115,86.83
19117,89.31
19119,89.85
19121,90.07
19123,90.32
19125,89.24
19127,87.24
19129,91.11
19131,82.83
19133,91.65
19135,90.57
19137,89.96
19139,86.85
19141,88.12
19143,88.27
19145,90.25
19147,84.87
19149,90.81
19151,85.32
19153,90.7
19155,90.32
19157,87.98
19159,89.47
19161,87.19
19163,86.97
19165,88.25
19167,90.03
19169,87.53
19171,87.51
19173,89.26
19175,88.99
19177,88.97
19179,90.5
19181,90.0
19183,87.3
19185,87.64
19187,85.77
19189,83.95
19191,83.32
19193,90.63
19195,83.19
19197,84.56
20001,92.77
20003,91.89
20005,92.68
20007,103.14
20009,100.89
20011,92.97
20013,91.24
20015,96.93
20017,94.24
20019,97.63
20021,94.98
20023,99.46
20025,104.72
20027,94.73
20029,95.9
20031,92.46
20033,103.8
20035,98.6
20037,93.18
20039,102.31
20041,95.32
20043,90.52
20045,92.91
20047,103.37
20049,95.9
20051,101.12
20053,99.77
20055,106.07
20057,103.66
20059,92.53
20061,94.12
20063,103.68
20065,102.06
20067,106.95
20069,104.86
20071,102.67
20073,94.89
20075,104.72
20077,101.82
20079,98.98
20081,106.27
20083,104.72
20085,93.15
20087,93.24
20089,95.68
20091,92.93
20093,105.55
20095,100.72
20097,102.76
20099,96.31
20101,105.08
20103,93.34
20105,98.83
20107,92.05
20109,101.39
20111,93.04
20113,98.62
20115,96.46
20117,92.57
20119,105.1
20121,92.53
20123,97.77
20125,96.64
20127,93.02
20129,104.61
20131,92.12
20133,94.14
20135,104.49
20137,101.32
20139,92.48
20141,99.5
20143,96.48
20145,103.33
20147,99.75
20149,93.15
20151,101.61
20153,100.67
20155,100.53
20157,94.53
20159,99.9
20161,94.39
20163,100.49
20165,102.76
20167,100.45
20169,98.47
20171,104.36
20173,99.91
20175,106.99
20177,93.02
20179,102.65
20181,99.75
20183,97.92
20185,101.68
20187,105.48
20189,106.23
20191,100.04
20193,100.87
20195,102.88
20197,92.71
20199,101.25
20201,94.14
20203,103.14
20205,94.91
20207,93.67
20209,93.99
21001,86.41
21003,88.27
21005,88.48
21007,91.15
21009,87.31
21011,86.25
21013,84.09
21015,86.76
21017,85.46
21019,86.32
21021,86.02
21023,87.04
21025,86.4
21027,87.76
21029,88.99
21031,88.9
21033,89.58
21035,90.91
21037,86.65
21039,91.22
21041,87.03
21043,86.27
21045,86.04
21047,89.28
21049,85.73
21051,85.32
21053,87.13
21055,89.8
21057,87.53
21059,88.74
21061,88.05
21063,86.16
21065,86.18
21067,86.56
21069,85.64
21071,85.5
21073,88.43
21075,91.96
21077,88.3
21079,86.22
21081,87.35
